,approach,fold,log,nt_mae
98,Khan,3,bpi_challenge_2012_o,2.989408403969681
99,Khan,4,bpi_challenge_2012_o,2.985154626747082
100,Khan,1,bpi_challenge_2012_w,0.7584025263927103
101,Khan,3,bpi_challenge_2012_w,0.6709030754464935
102,Khan,0,bpi_challenge_2012_w,0.6818673498081386
103,Khan,2,bpi_challenge_2012_w,0.6360363115843041
104,Khan,4,bpi_challenge_2012_w,0.6716069407276921
105,Khan,0,nasa,1.0347311886747046e-11
106,Khan,4,nasa,1.9231674470450464e-11
107,Khan,2,nasa,9.002371665990941e-10
108,Khan,3,nasa,1.6478172414588206e-09
109,Khan,1,nasa,3.4398296500657726e-11
110,Khan,1,bpi_challenge_2013_incidents,1.868295466933093
111,Khan,0,bpi_challenge_2013_incidents,1.8236148153294738
112,Khan,2,bpi_challenge_2013_incidents,1.8693823916657974
113,Khan,3,bpi_challenge_2013_incidents,1.534043388626877
114,Khan,4,bpi_challenge_2013_incidents,1.443262407964426
115,Khan,3,helpdesk,5.193086312648883
116,Khan,2,helpdesk,4.8668638862657465
117,Khan,1,helpdesk,5.010408040973701
118,Khan,4,helpdesk,5.044595762095981
119,Khan,0,helpdesk,4.873279775863186
