,approach,fold,log,precision
99,Evermann,2,bpi_challenge_2012_complete,0.5183472562727671
100,Evermann,2,bpi_challenge_2013_closed_problems,0.4968355469789101
101,Evermann,1,bpi_challenge_2013_closed_problems,0.5008045604856781
102,Evermann,3,bpi_challenge_2013_closed_problems,0.4316459516318228
103,Evermann,4,bpi_challenge_2013_closed_problems,0.4509908086112375
104,Evermann,0,bpi_challenge_2013_closed_problems,0.43139333984729317
105,Evermann,3,bpi_challenge_2012,0.4858571212343829
106,Evermann,2,bpi_challenge_2012,0.4471426367318401
107,Evermann,0,bpi_challenge_2012,0.4660284136765164
108,Evermann,1,bpi_challenge_2012,0.46610559168631543
109,Evermann,4,bpi_challenge_2012,0.43928468174957985
110,Evermann,2,nasa,0.08896904533534689
111,Evermann,1,nasa,0.048193215235197005
112,Evermann,0,nasa,0.09413650839876951
113,Evermann,3,nasa,0.14339467832181754
114,Evermann,4,nasa,0.1303444508397142
115,Evermann,3,bpi_challenge_2012_w_complete,0.5962866975427367
116,Evermann,0,bpi_challenge_2012_w_complete,0.6060926858303767
117,Evermann,1,bpi_challenge_2012_w_complete,0.6168807684283523
118,Evermann,4,bpi_challenge_2012_w_complete,0.5929031281934022
119,Evermann,2,bpi_challenge_2012_w_complete,0.5948791738894014
120,Pasquadibisceglie,1,helpdesk,0.7826420475408209
121,Pasquadibisceglie,4,helpdesk,0.8013642435345737
122,Pasquadibisceglie,2,helpdesk,0.7968406796441861
123,Pasquadibisceglie,3,helpdesk,0.7691521048684895
124,Pasquadibisceglie,0,helpdesk,0.8115494841681867
125,Pasquadibisceglie,3,bpi_challenge_2012_a,0.719223820964786
126,Pasquadibisceglie,2,bpi_challenge_2012_a,0.7067741947170845
127,Pasquadibisceglie,0,bpi_challenge_2012_a,0.7078669661677621
128,Pasquadibisceglie,4,bpi_challenge_2012_a,0.672328259603153
129,Pasquadibisceglie,1,bpi_challenge_2012_a,0.6735479471949083
130,Pasquadibisceglie,2,bpi_challenge_2013_incidents,0.48430700577878466
131,Pasquadibisceglie,0,bpi_challenge_2013_incidents,0.4901304943572054
