,approach,fold,log,mcc
99,Evermann,0,bpi_challenge_2012_w,0.7266529641061509
100,Evermann,3,bpi_challenge_2012_w_complete,0.5891513241976041
101,Evermann,0,bpi_challenge_2012_w_complete,0.5859192999492538
102,Evermann,1,bpi_challenge_2012_w_complete,0.5962084932746722
103,Evermann,4,bpi_challenge_2012_w_complete,0.5631257081384202
104,Evermann,2,bpi_challenge_2012_w_complete,0.5844410767869165
105,Evermann,2,sepsis,0.27306643413285037
106,Evermann,3,sepsis,0.26877970960179903
107,Evermann,4,sepsis,0.28807614045089014
108,Evermann,0,sepsis,0.2784751322856423
109,Evermann,1,sepsis,0.2893541924207217
110,Evermann,2,bpi_challenge_2013_closed_problems,0.5439594733978579
111,Evermann,1,bpi_challenge_2013_closed_problems,0.5535337666982023
112,Evermann,3,bpi_challenge_2013_closed_problems,0.4595298923238762
113,Evermann,4,bpi_challenge_2013_closed_problems,0.46242858006348175
114,Evermann,0,bpi_challenge_2013_closed_problems,0.4701337749139905
115,Evermann,0,bpi_challenge_2012_o,0.7659440365744337
116,Evermann,1,bpi_challenge_2012_o,0.7657241903499085
117,Evermann,2,bpi_challenge_2012_o,0.764969616217206
118,Evermann,3,bpi_challenge_2012_o,0.7664921039187363
119,Evermann,4,bpi_challenge_2012_o,0.7641370329569944
120,Pasquadibisceglie,3,nasa,0.8706611277889765
121,Pasquadibisceglie,2,nasa,0.8882570542390137
122,Pasquadibisceglie,1,nasa,0.8857879043745284
123,Pasquadibisceglie,4,nasa,0.8878863414802048
124,Pasquadibisceglie,0,nasa,0.8754346905916283
125,Pasquadibisceglie,3,bpi_challenge_2012_complete,0.7245912684207169
126,Pasquadibisceglie,2,bpi_challenge_2012_complete,0.729096785345568
127,Pasquadibisceglie,0,bpi_challenge_2012_complete,0.7174241556880738
128,Pasquadibisceglie,1,bpi_challenge_2012_complete,0.7197710577242001
129,Pasquadibisceglie,4,bpi_challenge_2012_complete,0.7312885120522851
130,Pasquadibisceglie,3,bpi_challenge_2012_a,0.7105516382346564
131,Pasquadibisceglie,2,bpi_challenge_2012_a,0.7196953947235066
132,Pasquadibisceglie,0,bpi_challenge_2012_a,0.7131018484838214
133,Pasquadibisceglie,4,bpi_challenge_2012_a,0.7082636062397767
134,Pasquadibisceglie,1,bpi_challenge_2012_a,0.7160386055313942
135,Pasquadibisceglie,2,bpi_challenge_2013_incidents,0.33403225363504235
136,Pasquadibisceglie,0,bpi_challenge_2013_incidents,0.3415842570533084
137,Pasquadibisceglie,4,bpi_challenge_2013_incidents,0.33427014535180916
138,Pasquadibisceglie,1,bpi_challenge_2013_incidents,0.34052658689007087
139,Pasquadibisceglie,3,bpi_challenge_2013_incidents,0.3423186252609168
140,Pasquadibisceglie,1,helpdesk,0.7918854988151941
141,Pasquadibisceglie,4,helpdesk,0.7910319969055319
142,Pasquadibisceglie,2,helpdesk,0.7941497833586844
143,Pasquadibisceglie,3,helpdesk,0.7718899279477425
144,Pasquadibisceglie,0,helpdesk,0.8023329044429564
145,Pasquadibisceglie,4,bpi_challenge_2012,0.8270956350388292
146,Pasquadibisceglie,0,bpi_challenge_2012,0.8217220659646584
147,Pasquadibisceglie,3,bpi_challenge_2012,0.8267261491001884
148,Pasquadibisceglie,1,bpi_challenge_2012,0.8160836758568474
149,Pasquadibisceglie,2,bpi_challenge_2012,0.8307714465379638
150,Pasquadibisceglie,0,env_permit,0.8408402930751612
151,Pasquadibisceglie,4,env_permit,0.8349537231947506
152,Pasquadibisceglie,2,env_permit,0.8366365114339811
153,Pasquadibisceglie,1,env_permit,0.8398037130651855
154,Pasquadibisceglie,3,env_permit,0.8551109082043529
155,Pasquadibisceglie,1,bpi_challenge_2012_w,0.7835186339488344
156,Pasquadibisceglie,3,bpi_challenge_2012_w,0.7958211089052198
157,Pasquadibisceglie,0,bpi_challenge_2012_w,0.7867955576106254
158,Pasquadibisceglie,4,bpi_challenge_2012_w,0.8002951413917142
159,Pasquadibisceglie,2,bpi_challenge_2012_w,0.7914018071247055
160,Pasquadibisceglie,4,bpi_challenge_2012_w_complete,0.6002657483338851
161,Pasquadibisceglie,0,bpi_challenge_2012_w_complete,0.5700900437837316
