accuracy,approach,fold,log
0.834821517748347,Pasquadibisceglie,4,bpi_challenge_2012
0.8296730013371693,Pasquadibisceglie,0,bpi_challenge_2012
0.8349205051702293,Pasquadibisceglie,3,bpi_challenge_2012
0.8245250706917838,Pasquadibisceglie,1,bpi_challenge_2012
0.838550116734597,Pasquadibisceglie,2,bpi_challenge_2012
0.841978287092883,Pasquadibisceglie,1,helpdesk
0.8408816425120773,Pasquadibisceglie,4,helpdesk
0.8411712511091393,Pasquadibisceglie,2,helpdesk
0.8246543100912033,Pasquadibisceglie,3,helpdesk
0.8476190476190476,Pasquadibisceglie,0,helpdesk
0.8044768626524526,Pasquadibisceglie,1,bpi_challenge_2012_w
0.8157301924438437,Pasquadibisceglie,3,bpi_challenge_2012_w
0.8078212997532114,Pasquadibisceglie,0,bpi_challenge_2012_w
0.8196857670979667,Pasquadibisceglie,4,bpi_challenge_2012_w
0.81202696686383,Pasquadibisceglie,2,bpi_challenge_2012_w
0.7387829052541831,Pasquadibisceglie,3,bpi_challenge_2012_a
0.7473051409618574,Pasquadibisceglie,2,bpi_challenge_2012_a
0.7409832657727887,Pasquadibisceglie,0,bpi_challenge_2012_a
0.7366225096484823,Pasquadibisceglie,4,bpi_challenge_2012_a
0.7424131051139347,Pasquadibisceglie,1,bpi_challenge_2012_a
0.8716754850088183,Pasquadibisceglie,3,nasa
0.8895148228997958,Pasquadibisceglie,2,nasa
0.8869903452108078,Pasquadibisceglie,1,nasa
0.8889592569136584,Pasquadibisceglie,4,nasa
0.8762776831345827,Pasquadibisceglie,0,nasa
0.8662420382165605,Pasquadibisceglie,0,env_permit
0.8619456366237482,Pasquadibisceglie,4,env_permit
0.8626522327469553,Pasquadibisceglie,2,env_permit
0.8646408839779005,Pasquadibisceglie,1,env_permit
0.8790896159317212,Pasquadibisceglie,3,env_permit
0.6912518734716415,Pasquadibisceglie,4,bpi_challenge_2012_w_complete
0.6701447868640298,Pasquadibisceglie,0,bpi_challenge_2012_w_complete
0.6780963397504751,Pasquadibisceglie,3,bpi_challenge_2012_w_complete
0.6884693189480782,Pasquadibisceglie,1,bpi_challenge_2012_w_complete
0.6891153689359968,Pasquadibisceglie,2,bpi_challenge_2012_w_complete
0.7896347293937656,Pasquadibisceglie,0,bpi_challenge_2012_o
0.7935270033144862,Pasquadibisceglie,4,bpi_challenge_2012_o
0.7908558473455507,Pasquadibisceglie,1,bpi_challenge_2012_o
0.791747384734599,Pasquadibisceglie,2,bpi_challenge_2012_o
0.7784342688330872,Pasquadibisceglie,3,bpi_challenge_2012_o
0.7460210412732667,Pasquadibisceglie,3,bpi_challenge_2012_complete
0.7506343939098185,Pasquadibisceglie,2,bpi_challenge_2012_complete
0.7389978791092259,Pasquadibisceglie,0,bpi_challenge_2012_complete
0.7418348924995897,Pasquadibisceglie,1,bpi_challenge_2012_complete
0.7524354923644023,Pasquadibisceglie,4,bpi_challenge_2012_complete
0.4879406307977736,Pasquadibisceglie,1,bpi_challenge_2013_closed_problems
0.4951830443159923,Pasquadibisceglie,3,bpi_challenge_2013_closed_problems
0.5013901760889713,Pasquadibisceglie,2,bpi_challenge_2013_closed_problems
0.4441233140655106,Pasquadibisceglie,0,bpi_challenge_2013_closed_problems
0.4436170212765957,Pasquadibisceglie,4,bpi_challenge_2013_closed_problems
0.4561848901339403,Pasquadibisceglie,2,bpi_challenge_2013_incidents
0.4620883329078376,Pasquadibisceglie,0,bpi_challenge_2013_incidents
0.458479020979021,Pasquadibisceglie,4,bpi_challenge_2013_incidents
0.4590381719953945,Pasquadibisceglie,1,bpi_challenge_2013_incidents
0.4658770912704986,Pasquadibisceglie,3,bpi_challenge_2013_incidents
0.5516139341642697,Pasquadibisceglie,1,sepsis
0.5620488140254383,Pasquadibisceglie,2,sepsis
0.546813812744749,Pasquadibisceglie,3,sepsis
0.5774011299435028,Pasquadibisceglie,4,sepsis
0.5695339143615006,Pasquadibisceglie,0,sepsis
0.8094481035657506,Mauro,1,bpi_challenge_2012
0.8548560874249653,Mauro,0,bpi_challenge_2012
0.8565498244456946,Mauro,3,bpi_challenge_2012
0.8561069137021148,Mauro,4,bpi_challenge_2012
0.8558851746646852,Mauro,2,bpi_challenge_2012
0.2757561436672968,Mauro,1,helpdesk
0.4195837275307474,Mauro,4,helpdesk
0.2420486435921421,Mauro,0,helpdesk
0.4097334878331402,Mauro,3,helpdesk
0.2424947637886897,Mauro,2,helpdesk
0.8601121042266323,Mauro,3,bpi_challenge_2012_w
0.8588584222616382,Mauro,4,bpi_challenge_2012_w
0.8554736652885134,Mauro,2,bpi_challenge_2012_w
0.8620669091776493,Mauro,0,bpi_challenge_2012_w
0.8625226987009359,Mauro,1,bpi_challenge_2012_w
0.7966240576860046,Mauro,4,bpi_challenge_2012_a
0.7963923894242649,Mauro,1,bpi_challenge_2012_a
0.7968788299697688,Mauro,0,bpi_challenge_2012_a
0.79725,Mauro,3,bpi_challenge_2012_a
0.8009783938035059,Mauro,2,bpi_challenge_2012_a
0.3817401960784313,Mauro,3,nasa
0.1743917357618594,Mauro,2,nasa
0.1696177062374245,Mauro,1,nasa
0.1721678891605542,Mauro,4,nasa
0.1536775784139159,Mauro,0,nasa
0.5270588235294118,Mauro,0,env_permit
0.5403800475059383,Mauro,4,env_permit
0.5365439093484419,Mauro,2,env_permit
0.5198847262247839,Mauro,1,env_permit
0.5558180744240993,Mauro,3,env_permit
0.6770947426067908,Mauro,4,bpi_challenge_2012_w_complete
0.6868135711787339,Mauro,0,bpi_challenge_2012_w_complete
0.6952680149224426,Mauro,1,bpi_challenge_2012_w_complete
0.6893971782813167,Mauro,3,bpi_challenge_2012_w_complete
0.6836655631471438,Mauro,2,bpi_challenge_2012_w_complete
0.8232224396607958,Mauro,4,bpi_challenge_2012_o
0.8316391359593392,Mauro,1,bpi_challenge_2012_o
0.8247390559277146,Mauro,3,bpi_challenge_2012_o
0.8258985879332478,Mauro,0,bpi_challenge_2012_o
0.8313057583130575,Mauro,2,bpi_challenge_2012_o
0.8029803826738808,Mauro,1,bpi_challenge_2012_complete
0.7984082454107458,Mauro,0,bpi_challenge_2012_complete
0.801691816688873,Mauro,3,bpi_challenge_2012_complete
0.7997333414138965,Mauro,4,bpi_challenge_2012_complete
0.8004197271773348,Mauro,2,bpi_challenge_2012_complete
0.250936329588015,Mauro,3,bpi_challenge_2013_closed_problems
0.2352465642683912,Mauro,4,bpi_challenge_2013_closed_problems
0.2395209580838323,Mauro,0,bpi_challenge_2013_closed_problems
0.2652616279069767,Mauro,2,bpi_challenge_2013_closed_problems
0.2558139534883721,Mauro,1,bpi_challenge_2013_closed_problems
0.3554198237204268,Mauro,2,bpi_challenge_2013_incidents
0.3524355300859599,Mauro,0,bpi_challenge_2013_incidents
0.3884169884169884,Mauro,4,bpi_challenge_2013_incidents
0.3674425870957662,Mauro,1,bpi_challenge_2013_incidents
