,approach,f1-score,fold,log
453,Camargo,0.8188277300034623,3,bpi_challenge_2012_o
454,Camargo,0.8051173566225045,4,bpi_challenge_2012_o
455,Camargo,0.8386351621352589,0,env_permit
456,Camargo,0.8457579876005712,1,env_permit
457,Camargo,0.8457370918477635,2,env_permit
458,Camargo,0.8694161083153574,3,env_permit
459,Camargo,0.8546314511490908,4,env_permit
460,Camargo,0.6950176708483117,0,bpi_challenge_2012_a
461,Camargo,0.7189348324590871,1,bpi_challenge_2012_a
462,Camargo,0.682803412247415,2,bpi_challenge_2012_a
463,Camargo,0.7219584157741944,3,bpi_challenge_2012_a
464,Camargo,0.7039368538923716,4,bpi_challenge_2012_a
465,Camargo,0.8013119791720872,0,helpdesk
466,Camargo,0.8005063496300909,1,helpdesk
467,Camargo,0.7965526631786917,2,helpdesk
468,Camargo,0.7813722604311314,3,helpdesk
469,Camargo,0.8059726325177372,4,helpdesk
470,Khan,0.24192905048627178,4,bpi_challenge_2013_closed_problems
471,Khan,0.37338730288473215,0,bpi_challenge_2013_closed_problems
472,Khan,0.4341663610633548,1,bpi_challenge_2013_closed_problems
473,Khan,0.3978726322622985,3,bpi_challenge_2013_closed_problems
474,Khan,0.39514809582905014,2,bpi_challenge_2013_closed_problems
475,Khan,0.4202522888749236,1,bpi_challenge_2012_w
476,Khan,0.6073118430464143,3,bpi_challenge_2012_w
477,Khan,0.7195330234623745,0,bpi_challenge_2012_w
478,Khan,0.6447226534996598,2,bpi_challenge_2012_w
479,Khan,0.6514659384896151,4,bpi_challenge_2012_w
480,Khan,0.0718211105348397,0,nasa
481,Khan,0.08509095056673008,4,nasa
482,Khan,0.12586264810887388,2,nasa
483,Khan,0.11595759929511638,3,nasa
484,Khan,0.13114110944773105,1,nasa
485,Khan,0.7113728559081129,1,bpi_challenge_2012_w_complete
486,Khan,0.6398532303190735,4,bpi_challenge_2012_w_complete
487,Khan,0.49847630922606423,3,bpi_challenge_2012_w_complete
488,Khan,0.30675979979431445,0,bpi_challenge_2012_w_complete
489,Khan,0.3513489812350709,2,bpi_challenge_2012_w_complete
490,Khan,0.3452955195213961,1,bpi_challenge_2012_complete
491,Khan,0.5208885990609698,2,bpi_challenge_2012_complete
492,Khan,0.553723323309418,4,bpi_challenge_2012_complete
493,Khan,0.32202488493135817,0,bpi_challenge_2012_complete
494,Khan,0.5453897193685976,3,bpi_challenge_2012_complete
495,Khan,0.7228730404157667,4,bpi_challenge_2012
496,Khan,0.1309810928003953,0,bpi_challenge_2012
497,Khan,0.0015990073779222934,1,bpi_challenge_2012
498,Khan,0.49502216709978236,2,bpi_challenge_2012
499,Khan,0.7750503701521365,3,bpi_challenge_2012
500,Khan,0.45338484998408457,1,bpi_challenge_2013_incidents
501,Khan,0.45983951944901574,0,bpi_challenge_2013_incidents
502,Khan,0.2546267693392187,2,bpi_challenge_2013_incidents
503,Khan,0.5318898363557929,3,bpi_challenge_2013_incidents
504,Khan,0.4684353194915402,4,bpi_challenge_2013_incidents
505,Khan,0.7979910679201135,1,bpi_challenge_2012_o
506,Khan,0.7054708814920192,2,bpi_challenge_2012_o
507,Khan,0.7878523813826299,0,bpi_challenge_2012_o
508,Khan,0.32758264022622846,3,bpi_challenge_2012_o
509,Khan,0.5683036468921634,4,bpi_challenge_2012_o
510,Khan,0.8359781521497536,3,env_permit
511,Khan,0.8259763641609466,1,env_permit
512,Khan,0.8147996353303131,0,env_permit
513,Khan,0.8142293099537122,2,env_permit
514,Khan,0.8179846128511885,4,env_permit
515,Khan,0.17171439749390033,1,sepsis
516,Khan,0.0738390163488498,4,sepsis
517,Khan,0.19210423768603668,2,sepsis
518,Khan,0.24676213964617974,0,sepsis
519,Khan,0.19727954010860332,3,sepsis
520,Khan,0.7001402857024964,0,bpi_challenge_2012_a
521,Khan,0.6907045023772383,4,bpi_challenge_2012_a
522,Khan,0.6735688449418501,3,bpi_challenge_2012_a
523,Khan,0.6941877999160061,2,bpi_challenge_2012_a
524,Khan,0.6908352837185627,1,bpi_challenge_2012_a
525,Khan,0.7344054069161884,3,helpdesk
526,Khan,0.7552077264947563,2,helpdesk
527,Khan,0.7561401352346314,1,helpdesk
528,Khan,0.7616520265305592,4,helpdesk
529,Khan,0.7593931207199909,0,helpdesk
