,approach,f1-score,fold,log
96,Evermann,0.7758636717462236,1,bpi_challenge_2012_o
97,Evermann,0.7744289689841953,2,bpi_challenge_2012_o
98,Evermann,0.7775464146099997,3,bpi_challenge_2012_o
99,Evermann,0.773341100262659,4,bpi_challenge_2012_o
100,Evermann,0.7686840308313516,3,env_permit
101,Evermann,0.7500745693124583,4,env_permit
102,Evermann,0.7312041479683556,2,env_permit
103,Evermann,0.7199702699143472,1,env_permit
104,Evermann,0.7265909047404522,0,env_permit
105,Evermann,0.3063186175195408,2,sepsis
106,Evermann,0.297850507354685,3,sepsis
107,Evermann,0.30588334453588845,4,sepsis
108,Evermann,0.29037987026047557,0,sepsis
109,Evermann,0.31486688428491405,1,sepsis
110,Evermann,0.6824376065703013,4,bpi_challenge_2012_a
111,Evermann,0.6852704994164209,0,bpi_challenge_2012_a
112,Evermann,0.6879811536226611,2,bpi_challenge_2012_a
113,Evermann,0.7012351281546586,3,bpi_challenge_2012_a
114,Evermann,0.6936003631977066,1,bpi_challenge_2012_a
115,Evermann,0.8038044287162871,1,helpdesk
116,Evermann,0.8017336251230025,0,helpdesk
117,Evermann,0.7994908570939808,2,helpdesk
118,Evermann,0.8103042805116454,4,helpdesk
119,Evermann,0.7866330627682219,3,helpdesk
120,Pasquadibisceglie,0.4348343313841594,1,bpi_challenge_2013_closed_problems
121,Pasquadibisceglie,0.4509559444810205,3,bpi_challenge_2013_closed_problems
122,Pasquadibisceglie,0.45011761926987837,2,bpi_challenge_2013_closed_problems
123,Pasquadibisceglie,0.3973480133659396,0,bpi_challenge_2013_closed_problems
124,Pasquadibisceglie,0.400430305072585,4,bpi_challenge_2013_closed_problems
125,Pasquadibisceglie,0.7745161166069958,1,bpi_challenge_2012_w
126,Pasquadibisceglie,0.7732942546942371,3,bpi_challenge_2012_w
127,Pasquadibisceglie,0.774929009503874,0,bpi_challenge_2012_w
128,Pasquadibisceglie,0.77883026719305,4,bpi_challenge_2012_w
129,Pasquadibisceglie,0.7743168020052319,2,bpi_challenge_2012_w
130,Pasquadibisceglie,0.8683380444204812,3,nasa
131,Pasquadibisceglie,0.8792294916013836,2,nasa
132,Pasquadibisceglie,0.8758186156950277,1,nasa
133,Pasquadibisceglie,0.8791406520552584,4,nasa
134,Pasquadibisceglie,0.8686756245613918,0,nasa
135,Pasquadibisceglie,0.6406314927061789,4,bpi_challenge_2012_w_complete
136,Pasquadibisceglie,0.6278843783323472,0,bpi_challenge_2012_w_complete
137,Pasquadibisceglie,0.6387613768662483,3,bpi_challenge_2012_w_complete
138,Pasquadibisceglie,0.6434289931780459,1,bpi_challenge_2012_w_complete
139,Pasquadibisceglie,0.6377572581097375,2,bpi_challenge_2012_w_complete
140,Pasquadibisceglie,0.6980432085445484,3,bpi_challenge_2012_complete
141,Pasquadibisceglie,0.7050683569437864,2,bpi_challenge_2012_complete
142,Pasquadibisceglie,0.7005473439634353,0,bpi_challenge_2012_complete
143,Pasquadibisceglie,0.6990121108301265,1,bpi_challenge_2012_complete
144,Pasquadibisceglie,0.7049434461918971,4,bpi_challenge_2012_complete
145,Pasquadibisceglie,0.8079174895936061,4,bpi_challenge_2012
146,Pasquadibisceglie,0.8019206787545251,0,bpi_challenge_2012
147,Pasquadibisceglie,0.8121587698590392,3,bpi_challenge_2012
148,Pasquadibisceglie,0.8006453209567802,1,bpi_challenge_2012
149,Pasquadibisceglie,0.8109060139394199,2,bpi_challenge_2012
150,Pasquadibisceglie,0.3634397875675276,2,bpi_challenge_2013_incidents
151,Pasquadibisceglie,0.3771970470430983,0,bpi_challenge_2013_incidents
152,Pasquadibisceglie,0.3705909530996696,4,bpi_challenge_2013_incidents
153,Pasquadibisceglie,0.3706059923981129,1,bpi_challenge_2013_incidents
154,Pasquadibisceglie,0.38869608687753715,3,bpi_challenge_2013_incidents
155,Pasquadibisceglie,0.7621715016441316,0,bpi_challenge_2012_o
156,Pasquadibisceglie,0.763079473552446,4,bpi_challenge_2012_o
157,Pasquadibisceglie,0.7672233210531882,1,bpi_challenge_2012_o
158,Pasquadibisceglie,0.768338123773579,2,bpi_challenge_2012_o
159,Pasquadibisceglie,0.7674957039139889,3,bpi_challenge_2012_o
160,Pasquadibisceglie,0.8463027468896107,0,env_permit
161,Pasquadibisceglie,0.843403227477953,4,env_permit
162,Pasquadibisceglie,0.8421509942940427,2,env_permit
163,Pasquadibisceglie,0.8486256061209069,1,env_permit
164,Pasquadibisceglie,0.8652383910494019,3,env_permit
165,Pasquadibisceglie,0.5339729590620047,1,sepsis
166,Pasquadibisceglie,0.5324475500864733,2,sepsis
167,Pasquadibisceglie,0.5129881587374914,3,sepsis
168,Pasquadibisceglie,0.5523013981774748,4,sepsis
169,Pasquadibisceglie,0.549997438207433,0,sepsis
170,Pasquadibisceglie,0.6824157443970333,3,bpi_challenge_2012_a
171,Pasquadibisceglie,0.6946902484953787,2,bpi_challenge_2012_a
172,Pasquadibisceglie,0.6867978403007649,0,bpi_challenge_2012_a
173,Pasquadibisceglie,0.681355626196466,4,bpi_challenge_2012_a
174,Pasquadibisceglie,0.6876866035102114,1,bpi_challenge_2012_a
175,Pasquadibisceglie,0.8046279307083849,1,helpdesk
176,Pasquadibisceglie,0.8014570208904805,4,helpdesk
177,Pasquadibisceglie,0.800293146425775,2,helpdesk
178,Pasquadibisceglie,0.7818688568607245,3,helpdesk
179,Pasquadibisceglie,0.808540189493031,0,helpdesk
180,Mauro,0.1006750543856108,3,bpi_challenge_2013_closed_problems
181,Mauro,0.0896030761807616,4,bpi_challenge_2013_closed_problems
182,Mauro,0.09331609014276349,0,bpi_challenge_2013_closed_problems
183,Mauro,0.11222019301655384,2,bpi_challenge_2013_closed_problems
184,Mauro,0.10523053706647985,1,bpi_challenge_2013_closed_problems
185,Mauro,0.8296733639951688,3,bpi_challenge_2012_w
186,Mauro,0.8265789290571839,4,bpi_challenge_2012_w
187,Mauro,0.8325107974569323,2,bpi_challenge_2012_w
188,Mauro,0.8319340031205559,0,bpi_challenge_2012_w
189,Mauro,0.8344918936006006,1,bpi_challenge_2012_w
190,Mauro,0.3738220081096208,3,nasa
191,Mauro,0.12329896604384606,2,nasa
192,Mauro,0.11979391829910685,1,nasa
193,Mauro,0.12263794474869302,4,nasa
194,Mauro,0.10375076808106697,0,nasa
195,Mauro,0.6547566880411724,4,bpi_challenge_2012_w_complete
196,Mauro,0.6533990599827927,0,bpi_challenge_2012_w_complete
197,Mauro,0.6584071062720825,1,bpi_challenge_2012_w_complete
198,Mauro,0.655179763046302,3,bpi_challenge_2012_w_complete
199,Mauro,0.6368912502849617,2,bpi_challenge_2012_w_complete
200,Mauro,0.7662674644298146,1,bpi_challenge_2012_complete
201,Mauro,0.7622069635199478,0,bpi_challenge_2012_complete
202,Mauro,0.7664716505445429,3,bpi_challenge_2012_complete
203,Mauro,0.7636232486455441,4,bpi_challenge_2012_complete
204,Mauro,0.7669020395436044,2,bpi_challenge_2012_complete
205,Mauro,0.7936720692569152,1,bpi_challenge_2012
206,Mauro,0.8370100387782009,0,bpi_challenge_2012
207,Mauro,0.8399958574491578,3,bpi_challenge_2012
208,Mauro,0.8404017175722264,4,bpi_challenge_2012
