,approach,brier,fold,log
104,Evermann,0.4574309578179249,2,bpi_challenge_2012_w_complete
105,Evermann,0.7653030833011852,2,sepsis
106,Evermann,0.7798174020681009,3,sepsis
107,Evermann,0.7752326694483506,4,sepsis
108,Evermann,0.7907364807371344,0,sepsis
109,Evermann,0.7683991953477302,1,sepsis
110,Evermann,0.4699211389550416,0,bpi_challenge_2013_incidents
111,Evermann,0.4682140531602307,4,bpi_challenge_2013_incidents
112,Evermann,0.4740382222843927,2,bpi_challenge_2013_incidents
113,Evermann,0.47335560833268375,1,bpi_challenge_2013_incidents
114,Evermann,0.47246257075367615,3,bpi_challenge_2013_incidents
115,Evermann,0.6132390000048203,3,bpi_challenge_2012
116,Evermann,0.6106909132221915,2,bpi_challenge_2012
117,Evermann,0.616340407123753,0,bpi_challenge_2012
118,Evermann,0.6053729851140884,1,bpi_challenge_2012
119,Evermann,0.6191352276212748,4,bpi_challenge_2012
120,Pasquadibisceglie,0.28721887,1,bpi_challenge_2012_w
121,Pasquadibisceglie,0.27859247,3,bpi_challenge_2012_w
122,Pasquadibisceglie,0.29609028,0,bpi_challenge_2012_w
123,Pasquadibisceglie,0.26741117,4,bpi_challenge_2012_w
124,Pasquadibisceglie,0.2784565,2,bpi_challenge_2012_w
125,Pasquadibisceglie,0.24004468,0,env_permit
126,Pasquadibisceglie,0.23833974,4,env_permit
127,Pasquadibisceglie,0.24670687,2,env_permit
128,Pasquadibisceglie,0.23050328,1,env_permit
129,Pasquadibisceglie,0.219781,3,env_permit
130,Pasquadibisceglie,0.24096733,1,helpdesk
131,Pasquadibisceglie,0.23570055,4,helpdesk
132,Pasquadibisceglie,0.2401092,2,helpdesk
133,Pasquadibisceglie,0.26591763,3,helpdesk
134,Pasquadibisceglie,0.23289926,0,helpdesk
135,Pasquadibisceglie,0.14659818,3,nasa
136,Pasquadibisceglie,0.13476487,2,nasa
137,Pasquadibisceglie,0.13512294,1,nasa
138,Pasquadibisceglie,0.14311308,4,nasa
139,Pasquadibisceglie,0.14704083,0,nasa
140,Pasquadibisceglie,0.27120322,0,bpi_challenge_2012_o
141,Pasquadibisceglie,0.28143865,4,bpi_challenge_2012_o
142,Pasquadibisceglie,0.27433035,1,bpi_challenge_2012_o
143,Pasquadibisceglie,0.27290255,2,bpi_challenge_2012_o
144,Pasquadibisceglie,0.28693867,3,bpi_challenge_2012_o
145,Pasquadibisceglie,0.65415794,1,bpi_challenge_2013_closed_problems
146,Pasquadibisceglie,0.6337038,3,bpi_challenge_2013_closed_problems
147,Pasquadibisceglie,0.635604,2,bpi_challenge_2013_closed_problems
148,Pasquadibisceglie,0.6810076,0,bpi_challenge_2013_closed_problems
149,Pasquadibisceglie,0.6728554,4,bpi_challenge_2013_closed_problems
150,Pasquadibisceglie,0.36233696,3,bpi_challenge_2012_complete
151,Pasquadibisceglie,0.3511422,2,bpi_challenge_2012_complete
152,Pasquadibisceglie,0.36385608,0,bpi_challenge_2012_complete
153,Pasquadibisceglie,0.36432064,1,bpi_challenge_2012_complete
154,Pasquadibisceglie,0.34951007,4,bpi_challenge_2012_complete
155,Pasquadibisceglie,0.32288662,3,bpi_challenge_2012_a
156,Pasquadibisceglie,0.31751972,2,bpi_challenge_2012_a
157,Pasquadibisceglie,0.32047725,0,bpi_challenge_2012_a
158,Pasquadibisceglie,0.321538,4,bpi_challenge_2012_a
159,Pasquadibisceglie,0.3211319,1,bpi_challenge_2012_a
160,Pasquadibisceglie,0.43721685,4,bpi_challenge_2012_w_complete
161,Pasquadibisceglie,0.4649379,0,bpi_challenge_2012_w_complete
162,Pasquadibisceglie,0.4459826,3,bpi_challenge_2012_w_complete
163,Pasquadibisceglie,0.4345124,1,bpi_challenge_2012_w_complete
164,Pasquadibisceglie,0.43320775,2,bpi_challenge_2012_w_complete
165,Pasquadibisceglie,0.6208941,1,sepsis
166,Pasquadibisceglie,0.61130863,2,sepsis
167,Pasquadibisceglie,0.6542869,3,sepsis
168,Pasquadibisceglie,0.59828,4,sepsis
169,Pasquadibisceglie,0.5992932,0,sepsis
170,Pasquadibisceglie,0.7022959,2,bpi_challenge_2013_incidents
171,Pasquadibisceglie,0.6881482,0,bpi_challenge_2013_incidents
172,Pasquadibisceglie,0.70776397,4,bpi_challenge_2013_incidents
173,Pasquadibisceglie,0.6855435,1,bpi_challenge_2013_incidents
174,Pasquadibisceglie,0.7170536,3,bpi_challenge_2013_incidents
175,Pasquadibisceglie,0.2235106,4,bpi_challenge_2012
176,Pasquadibisceglie,0.22673117,0,bpi_challenge_2012
177,Pasquadibisceglie,0.22283073,3,bpi_challenge_2012
178,Pasquadibisceglie,0.23370388,1,bpi_challenge_2012
179,Pasquadibisceglie,0.22218107,2,bpi_challenge_2012
180,Mauro,0.206984,3,bpi_challenge_2012_w
181,Mauro,0.208856,4,bpi_challenge_2012_w
182,Mauro,0.210059,2,bpi_challenge_2012_w
183,Mauro,0.204922,0,bpi_challenge_2012_w
184,Mauro,0.202781,1,bpi_challenge_2012_w
185,Mauro,0.755718,0,env_permit
186,Mauro,0.814366,4,env_permit
187,Mauro,0.776077,2,env_permit
