,approach,fold,log,recall
111,Evermann,2,bpi_challenge_2012,0.5782652043868395
112,Evermann,0,bpi_challenge_2012,0.6051062028628598
113,Evermann,1,bpi_challenge_2012,0.594840638958286
114,Evermann,4,bpi_challenge_2012,0.5798056114507005
115,Evermann,2,sepsis,0.4018601667735728
116,Evermann,3,sepsis,0.39350778403444847
117,Evermann,4,sepsis,0.4017452006980803
118,Evermann,0,sepsis,0.3875043875043875
119,Evermann,1,sepsis,0.41539383048817013
120,Pasquadibisceglie,3,nasa,0.8716754850088183
121,Pasquadibisceglie,2,nasa,0.8895148228997958
122,Pasquadibisceglie,1,nasa,0.8869903452108078
123,Pasquadibisceglie,4,nasa,0.8889592569136584
124,Pasquadibisceglie,0,nasa,0.8762776831345827
125,Pasquadibisceglie,4,bpi_challenge_2012_w_complete,0.6912518734716415
126,Pasquadibisceglie,0,bpi_challenge_2012_w_complete,0.6701447868640298
127,Pasquadibisceglie,3,bpi_challenge_2012_w_complete,0.6780963397504751
128,Pasquadibisceglie,1,bpi_challenge_2012_w_complete,0.6884693189480782
129,Pasquadibisceglie,2,bpi_challenge_2012_w_complete,0.6891153689359968
130,Pasquadibisceglie,1,bpi_challenge_2013_closed_problems,0.48794063079777367
131,Pasquadibisceglie,3,bpi_challenge_2013_closed_problems,0.4951830443159923
132,Pasquadibisceglie,2,bpi_challenge_2013_closed_problems,0.5013901760889713
133,Pasquadibisceglie,0,bpi_challenge_2013_closed_problems,0.4441233140655106
134,Pasquadibisceglie,4,bpi_challenge_2013_closed_problems,0.44361702127659575
135,Pasquadibisceglie,3,bpi_challenge_2012_a,0.7387829052541831
136,Pasquadibisceglie,2,bpi_challenge_2012_a,0.7473051409618574
137,Pasquadibisceglie,0,bpi_challenge_2012_a,0.7409832657727887
138,Pasquadibisceglie,4,bpi_challenge_2012_a,0.7366225096484823
139,Pasquadibisceglie,1,bpi_challenge_2012_a,0.7424131051139347
140,Pasquadibisceglie,1,helpdesk,0.841978287092883
141,Pasquadibisceglie,4,helpdesk,0.8408816425120773
142,Pasquadibisceglie,2,helpdesk,0.8411712511091393
143,Pasquadibisceglie,3,helpdesk,0.8246543100912033
144,Pasquadibisceglie,0,helpdesk,0.8476190476190476
145,Pasquadibisceglie,0,env_permit,0.8662420382165605
146,Pasquadibisceglie,4,env_permit,0.8619456366237482
147,Pasquadibisceglie,2,env_permit,0.8626522327469553
148,Pasquadibisceglie,1,env_permit,0.8646408839779005
149,Pasquadibisceglie,3,env_permit,0.8790896159317212
150,Pasquadibisceglie,0,bpi_challenge_2012_o,0.7896347293937656
151,Pasquadibisceglie,4,bpi_challenge_2012_o,0.7935270033144862
152,Pasquadibisceglie,1,bpi_challenge_2012_o,0.7908558473455507
153,Pasquadibisceglie,2,bpi_challenge_2012_o,0.791747384734599
154,Pasquadibisceglie,3,bpi_challenge_2012_o,0.7784342688330872
155,Pasquadibisceglie,3,bpi_challenge_2012_complete,0.7460210412732667
156,Pasquadibisceglie,2,bpi_challenge_2012_complete,0.7506343939098185
157,Pasquadibisceglie,0,bpi_challenge_2012_complete,0.7389978791092259
158,Pasquadibisceglie,1,bpi_challenge_2012_complete,0.7418348924995897
159,Pasquadibisceglie,4,bpi_challenge_2012_complete,0.7524354923644023
160,Pasquadibisceglie,1,bpi_challenge_2012_w,0.8044768626524526
161,Pasquadibisceglie,3,bpi_challenge_2012_w,0.8157301924438437
162,Pasquadibisceglie,0,bpi_challenge_2012_w,0.8078212997532114
